permit_outfall,permit,outfall,facility,long,lat,state,huc8,watershed_name,TMDL_zone
CT0101036_1,CT0101036,1,STRATFORD WPCF,-73.123982,41.178603,CT,02030203,Long Island Sound,NA
CT0101044_1,CT0101044,1,FAIRFIELD WPCF,-73.245153,41.12616,CT,02030203,Long Island Sound,5
CT0101052_1,CT0101052,1,SHARON WPCF,-73.489,41.885,CT,01100005,Housatonic,NA
CT0101061_1,CT0101061,1,BEACON FALLS WPCF,-73.060701,41.439989,CT,01100005,Housatonic,4
CT0101079_1,CT0101079,1,WEST HAVEN WPCF,-72.931021,41.26814,CT,01100004,Quinnipiac,NA
CT0101087_1,CT0101087,1,STAMFORD WPCF,-73.530941,41.044717,CT,01100006,Saugatuck,6
CT0101150_1,CT0101150,1,PORTLAND WPCF,-72.646186,41.567764,CT,01080205,Outlet Connecticut River,NA
CT0101184_1,CT0101184,1,GROTON CITY WPCF,-72.084781,41.354153,CT,02030203,Long Island Sound,1
CT0101214_1,CT0101214,1,STAFFORD SPRINGS WPCF,-72.262837,41.945537,CT,01100002,Shetucket River,1
CT0101222_1,CT0101222,1,WINSTED WPCF,-73.052586,41.942207,CT,01080207,Farmington River,2
CT0101231_1,CT0101231,1,NORFOLK WPCF,-73.217146,42.000291,CT,01100005,Housatonic,4
CT0101249_1,CT0101249,1,NORWALK WPCF,-73.415104,41.101938,CT,01100006,Saugatuck,NA
CT0101257_1,CT0101257,1,KILLINGLY WPCF,-71.888381999999993,41.794425,CT,01100001,Quinebaug River,1
CT0101273_1,CT0101273,1,NEW CANAAN WPCF,-73.48105,41.139994,CT,01100006,Saugatuck,6
CT0101281_1,CT0101281,1,STONINGTON BOROUGH WPCF,-71.911441,41.333596,CT,02030203,Long Island Sound,1
CT0101290_1,CT0101290,1,STONINGTON PAWCATUCK WPCF,-71.835051000000007,41.351929,CT,01100007,Pawcatuck River,NA
CT0101320_1,CT0101320,1,UCONN WPCF,-72.28145,41.784427,CT,01100002,Shetucket River,1
CT0101591_1,CT0101591,1,WINDSOR LOCKS WPCF,-72.625349,41.913316,CT,01080205,Outlet Connecticut River,2
CT0101656_1,CT0101656,1,MILFORD HOUSATONIC WPCF,-73.108148,41.223048,CT,01100005,Housatonic,4
CT0101681_1,CT0101681,1,LEDYARD WPC,-71.964998,41.433374,CT,01100003,Thames,1
CT0101745_1,CT0101745,1,DEEP RIVER TOWN OF,-72.439014,41.393598,CT,01080205,Outlet Connecticut River,NA
CT0101761_1,CT0101761,1,EAST HADDAM WPCF,-72.45882,41.449348,CT,01080205,Outlet Connecticut River,NA
CT0101770_1,CT0101770,1,"REDDING, TOWN OF",-73.43,41.76,CT,01100005,Housatonic,NA
CT0101788_1,CT0101788,1,NEWTOWN WPCF,-73.281513,41.413379,CT,01100005,Housatonic,4
CT0101818_1,CT0101818,1,"CONVENT OF THE SACRED HEART SCHOOL GREENWICH, INC.",-73.695278,41.070833,CT,01100006,Saugatuck,NA
MA0100005_1,MA0100005,1,ATHOL WWTP,-72.2425,42.586111,MA,01080202,Millers River,NA
MA0100137_1,MA0100137,1,MONTAGUE WPCF,-72.572926,42.580617,MA,01080201,Ashuelot River-Connecticut River,NA
MA0100170_1,MA0100170,1,OXFORD-ROCHDALE SEWER DISTRICT,-72.497917,42.308389,MA,01080201,Ashuelot River-Connecticut River,NA
MA0100218_1,MA0100218,1,AMHERST WWTP,-72.575,42.402639,MA,01080201,Ashuelot River-Connecticut River,NA
MA0100480_1,MA0100480,1,MARLBOROUGH WESTERLY WWTP,-72.031889,42.574611,MA,01080202,Millers River,NA
MA0100889_1,MA0100889,1,WARE WWTP,-72.250278,42.25,MA,01080204,Chicopee River,NA
MA0100901_1,MA0100901,1,SOUTHBRIDGE WWTP,-72.008106,42.069979,MA,01100001,Quinebaug River,NA
MA0100919_1,MA0100919,1,SPENCER WWTP,-72.014167,42.228889,MA,01080204,Chicopee River,NA
MA0100994_1,MA0100994,1,GARDNER WWTF,-72.016991,42.569697,MA,01080202,Millers River,NA
MA0101265_1,MA0101265,1,HUNTINGTON WWTP,-72.873694,42.230889,MA,01080206,Westfield River,NA
MA0101281_FAC,MA0101281,FAC,WEST FITCHBURG WWTF,-72.845629,42.561923,MA,01080203,Deerfield River,NA
MA0101290_1,MA0101290,1,HATFIELD WWTF,-72.594444,42.390278,MA,01080201,Ashuelot River-Connecticut River,NA
MA0101311_1,MA0101311,1,GRAFTON WASTEWATER TREATMENT,-72.674516,42.166648,MA,01080206,Westfield River,NA
MA0101478_1,MA0101478,1,EASTHAMPTON WWTP,-72.617013,42.288036,MA,01080201,Ashuelot River-Connecticut River,NA
MA0101508_10,MA0101508,10,CHICOPEE WPC,-72.624415,42.151998,MA,01080201,Ashuelot River-Connecticut River,NA
MA0101516_4,MA0101516,4,ERVING POTW #1,-72.496174,42.590255,MA,01080202,Millers River,NA
MA0101567_1,MA0101567,1,WARREN WWTF,-72.248669,42.209396,MA,01080204,Chicopee River,NA
MA0101630_1,MA0101630,1,HOLYOKE WPCF,-72.609792,42.190537,MA,01080201,Ashuelot River-Connecticut River,NA
MA0101681_3,MA0101681,3,PITTSFIELD WWTP,-73.2412,42.404149,MA,01100005,Housatonic,NA
MA0101818_1,MA0101818,1,NORTHAMPTON WWTF,-72.607846,42.30248,MA,01080201,Ashuelot River-Connecticut River,NA
MA0102148_1,MA0102148,1,BELCHERTOWN WWTP,-72.425556,42.281111,MA,01080201,Ashuelot River-Connecticut River,NA
NH0100145_1,NH0100145,1,LANCASTER WWTP,-71.596682,44.487185,NH,01080101,Headwaters Connecticut River,NA
NH0100307_1,NH0100307,1,TOWN OF NEWPORT,-72.140321,43.374692,NH,01080106,Black River-Connecticut River,NA
NH0100366_1,NH0100366,1,LEBANON WWTF,-72.321714,43.63747,NH,01080106,Black River-Connecticut River,NA
NH0100382_1,NH0100382,1,HINSDALE WWTP,-72.491172,42.780809,NH,01080201,Ashuelot River-Connecticut River,NA
NH0100765_1,NH0100765,1,CHARLESTOWN WASTEWATER TREATMENT PLANT,-72.432832,43.227751,NH,01080106,Black River-Connecticut River,NA
NH0101257_1,NH0101257,1,CLAREMONT CITY OF,-72.381163,43.390527,NH,01080106,Black River-Connecticut River,NA
NY0020079_1,NY0020079,1,GREENPORT (V) WWTP,-72.386111,41.108611,NY,02030201,Northern Long Island,11E
NY0021342_1,NY0021342,3,HUNTINGTON SEWER DISTRICT STP,-73.417861,40.888056,NY,02030201,Northern Long Island,11W
NY0021750_1,NY0021750,1,PORT JEFFERSON SD#1 STP,-73.075639,40.948583,NY,02030201,Northern Long Island,11W
NY0021822_1,NY0021822,1,OYSTER BAY WPCP,-73.526778,40.878222,NY,02030201,Northern Long Island,10
NY0022128_1,NY0022128,1,GREAT NECK (V) WPCP,-73.712083,40.797694,NY,02030201,Northern Long Island,10
NY0023311_1,NY0023311,1,SCSD#6 - KINGS PARK STP,-73.227722,40.895333,NY,02030201,Northern Long Island,11W
NY0024881_1,NY0024881,1,NORTHPORT (V) STP,-73.358194,40.891056,NY,02030201,Northern Long Island,11W
NY0026131_1,NY0026131,1,NYCDEP - WARD'S ISLAND WPCP,-73.919139,40.787833,NY,NA,East River,8
NY0026158_1,NY0026158,1,NYCDEP - BOWERY BAY WPCP,-73.888167,40.774167,NY,02030102,Bronx,8
NY0026191_1,NY0026191,1,NYCDEP - HUNT'S POINT WPCP,-73.879583,40.801389,NY,02030102,Bronx,8
NY0026204_1,NY0026204,1,NYCDEP - NEWTOWN CREEK WPCP,-73.965583,40.731139,NY,NA,East River,9
NY0026239_1,NY0026239,1,NYCDEP - TALLMAN ISLAND WPCP,-73.841056,40.797583,NY,02030102,Bronx,8
NY0026620_1,NY0026620,1,GLEN COVE (C) WWTF,-73.641667,40.858722,NY,02030201,Northern Long Island,10
NY0026697_1,NY0026697,1,NEW ROCHELLE STP,-73.738667,40.891194,NY,02030203,Long Island Sound,7
NY0026701_1,NY0026701,1,MAMARONECK SANITARY SD WWTP,-73.734,40.945,NY,NA,Long Island Sound,7
NY0026719_1,NY0026719,1,BLIND BROOK SD WWTP,-73.669778,40.945611,NY,02030203,Long Island Sound,7
NY0026778_1,NY0026778,1,PORT WASHINGTON WPCP,-73.704444,40.833611,NY,02030201,Northern Long Island,10
NY0026786_1,NY0026786,1,PORT CHESTER SANITARY SD WWTP,-73.659278,40.989194,NY,02030203,Long Island Sound,7
NY0026841_1,NY0026841,1,BELGRAVE WPCP,-73.7425,40.778861,NY,02030201,Northern Long Island,10
NY0026999_3,NY0026999,3,GREAT NECK WPC DISTRICT,-73.712139,40.797722,NY,02030201,Northern Long Island,10
NY0027073_1,NY0027073,1,NYCDEP - RED HOOK WPCP,-73.984389,40.705722,NY,NA,East River,9
NY0109584_1,NY0109584,1,NORTH CASTLE (T) SD#2,-73.710806,41.120361,NY,01100006,Saugatuck,7
NY0206644_1,NY0206644,1,SUFFOLK CO SD#21 SUNY,-73.073139,40.951917,NY,02030201,Northern Long Island,11W
