Start_Date_UTC,Area_under_3_mgL,Area_under_5_mgL
2009-08-10T04:00:00Z,NaN,NaN
2009-08-11T04:00:00Z,NaN,NaN
2009-08-11T04:00:00Z,NaN,NaN
2009-08-11T04:00:00Z,NaN,NaN
2009-08-11T04:00:00Z,NaN,NaN
2009-08-12T04:00:00Z,NaN,NaN
2009-08-12T04:00:00Z,NaN,NaN
2009-08-12T04:00:00Z,NaN,NaN
2009-08-12T04:00:00Z,NaN,NaN
2009-08-13T04:00:00Z,NaN,NaN
2009-08-13T04:00:00Z,NaN,NaN
2009-08-13T04:00:00Z,NaN,NaN
2000-02-16T05:00:00Z,0,0
2001-02-20T05:00:00Z,NaN,NaN
2002-02-19T05:00:00Z,NaN,NaN
2004-02-19T05:00:00Z,NaN,NaN
2008-02-22T05:00:00Z,NaN,NaN
2009-02-17T05:00:00Z,NaN,NaN
2011-02-17T05:00:00Z,NaN,NaN
2012-02-16T05:00:00Z,NaN,NaN
2013-02-14T05:00:00Z,NaN,NaN
2014-02-20T05:00:00Z,0,0
2016-02-17T05:00:00Z,0,0
2017-02-21T05:00:00Z,0,0
2018-02-20T05:00:00Z,NaN,NaN
2019-02-21T05:00:00Z,0,0
1992-02-19T05:00:00Z,NaN,NaN
1998-02-19T05:00:00Z,0,0
1999-02-16T05:00:00Z,0,0
2000-03-15T05:00:00Z,0,0
2002-03-21T05:00:00Z,0,0
2003-03-18T05:00:00Z,NaN,NaN
2004-03-18T05:00:00Z,NaN,NaN
2007-03-19T04:00:00Z,NaN,NaN
2008-03-18T04:00:00Z,NaN,NaN
2009-03-16T04:00:00Z,NaN,NaN
2010-03-17T04:00:00Z,0,0
2012-03-15T04:00:00Z,0,0
2014-03-18T04:00:00Z,0,0
2015-03-19T04:00:00Z,0,0
2016-03-23T04:00:00Z,NaN,NaN
1998-03-24T05:00:00Z,0,0
1999-03-25T05:00:00Z,0,0
2016-08-03T04:00:00Z,NaN,NaN
2016-07-11T04:00:00Z,NaN,NaN
2016-06-15T04:00:00Z,NaN,NaN
2017-06-22T04:00:00Z,NaN,NaN
