permit,facility,Outfall,key,permit_outfall,state,kg_N_TN_per_month,month_year,EXTERNAL_PERMIT_NMBR.x,FACILITY_NAME,SIC_CODES,SIC_DESCRIPTIONS,PERM_FEATURE_NMBR.x,STATE_WATER_BODY_NAME,LATITUDE83,LONGITUDE83,impute_lat,impute_lon,EXTERNAL_PERMIT_NMBR.y,PERM_FEATURE_NMBR.y,huc8,name,impute_name
NY0026701,MAMARONECK SANITARY SD WWTP,1,NY0026701_1_2005-05-31,NY0026701_1,NY,17967.3469387755,2005-05-01,NY0026701,MAMARONECK (V) SANITARY SD,4952,Sewerage Systems,1,LONG ISLAND SOUND,41.155583,-74.671111,NA,NA,NA,NA,NA,Long Island Sound,Long Island Sound
NY0026786,PORT CHESTER SANITARY SD WWTP,1,NY0026786_1_2005-05-31,NY0026786_1,NY,9039.90929705215,2005-05-01,NY0026786,PORT CHESTER STP,4952,Sewerage Systems,1,BYRAM R,40.989194,-73.659278,NA,NA,NY0026786,1,02030203,Long Island Sound,NA
NY0026131,NYCDEP - WARD'S ISLAND WPCP,1,NY0026131_1_2005-05-31,NY0026131_1,NY,417551.020408163,2005-05-01,NY0026131,NYCDEP - WARD'S ISLAND WPCP,4952,Sewerage Systems,1,EAST R,40.787833,-73.919139,NA,NA,NA,NA,NA,East River,East River
NY0026191,NYCDEP - HUNT'S POINT WPCP,1,NY0026191_1_2005-05-31,NY0026191_1,NY,302267.573696145,2005-05-01,NY0026191,NYCDEP - HUNT'S POINT WPCP,4952,Sewerage Systems,1,UPPER EAST R,40.801389,-73.879583,NA,NA,NY0026191,1,02030102,Bronx,NA
NY0026204,NYCDEP - NEWTOWN CREEK WPCP,1,NY0026204_1_2005-05-31,NY0026204_1,NY,456916.099773243,2005-05-01,NY0026204,NYCDEP - NEWTOWN CREEK WPCP,4952,Sewerage Systems,1,EAST R,40.731139,-73.965583,NA,NA,NA,NA,NA,East River,East River
NY0026239,NYCDEP - TALLMAN ISLAND WPCP,1,NY0026239_1_2005-05-31,NY0026239_1,NY,127936.507936508,2005-05-01,NY0026239,NYCDEP - TALLMAN ISLAND WPCP,4952,Sewerage Systems,1,EAST R,40.797583,-73.841056,NA,NA,NY0026239,1,02030102,Bronx,NA
NY0027073,NYCDEP - RED HOOK WPCP,1,NY0027073_1_2005-05-31,NY0027073_1,NY,52018.1405895692,2005-05-01,NY0027073,NYCDEP - RED HOOK WPCP,4952,Sewerage Systems,1,EAST R,40.705722,-73.984389,NA,NA,NA,NA,NA,East River,East River
NY0026999,GREAT NECK WPC DISTRICT,3,NY0026999_3_2005-06-30,NY0026999_3,NY,5741.49659863946,2005-06-01,NY0026999,GREAT NECK WPC DISTRICT,4952,Sewerage Systems,3,MANHASSET BAY,40.797722,-73.712139,NA,NA,NY0026999,3,02030201,Northern Long Island,NA
NY0026697,NEW ROCHELLE SD,1,NY0026697_1_2005-06-30,NY0026697_1,NY,26190.4761904762,2005-06-01,NY0026697,NEW ROCHELLE STP,4952,Sewerage Systems,1,LONG ISLAND SOUND,40.891194,-73.738667,NA,NA,NY0026697,1,02030203,Long Island Sound,NA
NY0026701,MAMARONECK SANITARY SD WWTP,1,NY0026701_1_2005-06-30,NY0026701_1,NY,16380.9523809524,2005-06-01,NY0026701,MAMARONECK (V) SANITARY SD,4952,Sewerage Systems,1,LONG ISLAND SOUND,41.155583,-74.671111,NA,NA,NA,NA,NA,Long Island Sound,Long Island Sound
