permit,facility,key,permit_outfall,kg_N_TN_per_month,month_year,outfall,state,LATITUDE83,LONGITUDE83,huc8,name,season
NY0026191,NYCDEP - HUNT'S POINT WPCP,NY0026191_1_1997-09-30,NY0026191_1,362761.9,1997 Sep,1,NY,40.801389,-73.879583,02030102,Bronx,fall
NY0026239,NYCDEP - TALLMAN ISLAND WPCP,NY0026239_1_1997-09-30,NY0026239_1,113088.44,1997 Sep,1,NY,40.797583,-73.841056,02030102,Bronx,fall
NY0026131,NYCDEP - WARD'S ISLAND WPCP,NY0026131_1_1997-10-31,NY0026131_1,503521.54,1997 Oct,1,NY,40.787833,-73.919139,NA,East River,fall
NY0026191,NYCDEP - HUNT'S POINT WPCP,NY0026191_1_1997-10-31,NY0026191_1,373040.36,1997 Oct,1,NY,40.801389,-73.879583,02030102,Bronx,fall
NY0026239,NYCDEP - TALLMAN ISLAND WPCP,NY0026239_1_1997-10-31,NY0026239_1,116169.16,1997 Oct,1,NY,40.797583,-73.841056,02030102,Bronx,fall
NY0026131,NYCDEP - WARD'S ISLAND WPCP,NY0026131_1_1997-11-30,NY0026131_1,488054.42,1997 Nov,1,NY,40.787833,-73.919139,NA,East River,fall
NY0026191,NYCDEP - HUNT'S POINT WPCP,NY0026191_1_1997-11-30,NY0026191_1,355224.49,1997 Nov,1,NY,40.801389,-73.879583,02030102,Bronx,fall
NY0026239,NYCDEP - TALLMAN ISLAND WPCP,NY0026239_1_1997-11-30,NY0026239_1,110666.67,1997 Nov,1,NY,40.797583,-73.841056,02030102,Bronx,fall
NY0026131,NYCDEP - WARD'S ISLAND WPCP,NY0026131_1_1997-12-31,NY0026131_1,497209.07,1997 Dec,1,NY,40.787833,-73.919139,NA,East River,winter
NY0026191,NYCDEP - HUNT'S POINT WPCP,NY0026191_1_1997-12-31,NY0026191_1,355030.84,1997 Dec,1,NY,40.801389,-73.879583,02030102,Bronx,winter
NY0026239,NYCDEP - TALLMAN ISLAND WPCP,NY0026239_1_1997-12-31,NY0026239_1,112907.48,1997 Dec,1,NY,40.797583,-73.841056,02030102,Bronx,winter
NY0026131,NYCDEP - WARD'S ISLAND WPCP,NY0026131_1_1998-01-31,NY0026131_1,494073.92,1998 Jan,1,NY,40.787833,-73.919139,NA,East River,winter
NY0026191,NYCDEP - HUNT'S POINT WPCP,NY0026191_1_1998-01-31,NY0026191_1,345386.39,1998 Jan,1,NY,40.801389,-73.879583,02030102,Bronx,winter
NY0026239,NYCDEP - TALLMAN ISLAND WPCP,NY0026239_1_1998-01-31,NY0026239_1,113160.54,1998 Jan,1,NY,40.797583,-73.841056,02030102,Bronx,winter
NY0026131,NYCDEP - WARD'S ISLAND WPCP,NY0026131_1_1998-02-28,NY0026131_1,445561.9,1998 Feb,1,NY,40.787833,-73.919139,NA,East River,winter
NY0026191,NYCDEP - HUNT'S POINT WPCP,NY0026191_1_1998-02-28,NY0026191_1,296698.41,1998 Feb,1,NY,40.801389,-73.879583,02030102,Bronx,winter
NY0026239,NYCDEP - TALLMAN ISLAND WPCP,NY0026239_1_1998-02-28,NY0026239_1,100215.87,1998 Feb,1,NY,40.797583,-73.841056,02030102,Bronx,winter
NY0026131,NYCDEP - WARD'S ISLAND WPCP,NY0026131_1_1998-03-31,NY0026131_1,475389.57,1998 Mar,1,NY,40.787833,-73.919139,NA,East River,spring
NY0026191,NYCDEP - HUNT'S POINT WPCP,NY0026191_1_1998-03-31,NY0026191_1,309353.29,1998 Mar,1,NY,40.801389,-73.879583,02030102,Bronx,spring
NY0026239,NYCDEP - TALLMAN ISLAND WPCP,NY0026239_1_1998-03-31,NY0026239_1,110672.11,1998 Mar,1,NY,40.797583,-73.841056,02030102,Bronx,spring
NY0026131,NYCDEP - WARD'S ISLAND WPCP,NY0026131_1_1998-04-30,NY0026131_1,449428.57,1998 Apr,1,NY,40.787833,-73.919139,NA,East River,spring
NY0026191,NYCDEP - HUNT'S POINT WPCP,NY0026191_1_1998-04-30,NY0026191_1,283319.73,1998 Apr,1,NY,40.801389,-73.879583,02030102,Bronx,spring
NY0026239,NYCDEP - TALLMAN ISLAND WPCP,NY0026239_1_1998-04-30,NY0026239_1,105823.13,1998 Apr,1,NY,40.797583,-73.841056,02030102,Bronx,spring
NY0026131,NYCDEP - WARD'S ISLAND WPCP,NY0026131_1_1998-05-31,NY0026131_1,451348.75,1998 May,1,NY,40.787833,-73.919139,NA,East River,spring
NY0026191,NYCDEP - HUNT'S POINT WPCP,NY0026191_1_1998-05-31,NY0026191_1,279309.3,1998 May,1,NY,40.801389,-73.879583,02030102,Bronx,spring
NY0026239,NYCDEP - TALLMAN ISLAND WPCP,NY0026239_1_1998-05-31,NY0026239_1,108816.33,1998 May,1,NY,40.797583,-73.841056,02030102,Bronx,spring
NY0026131,NYCDEP - WARD'S ISLAND WPCP,NY0026131_1_1998-06-30,NY0026131_1,426476.19,1998 Jun,1,NY,40.787833,-73.919139,NA,East River,summer
NY0026191,NYCDEP - HUNT'S POINT WPCP,NY0026191_1_1998-06-30,NY0026191_1,261074.83,1998 Jun,1,NY,40.801389,-73.879583,02030102,Bronx,summer
NY0026239,NYCDEP - TALLMAN ISLAND WPCP,NY0026239_1_1998-06-30,NY0026239_1,102721.09,1998 Jun,1,NY,40.797583,-73.841056,02030102,Bronx,summer
NY0026131,NYCDEP - WARD'S ISLAND WPCP,NY0026131_1_1998-07-31,NY0026131_1,432017.69,1998 Jul,1,NY,40.787833,-73.919139,NA,East River,summer
NY0026191,NYCDEP - HUNT'S POINT WPCP,NY0026191_1_1998-07-31,NY0026191_1,260821.77,1998 Jul,1,NY,40.801389,-73.879583,02030102,Bronx,summer
NY0026239,NYCDEP - TALLMAN ISLAND WPCP,NY0026239_1_1998-07-31,NY0026239_1,105104.76,1998 Jul,1,NY,40.797583,-73.841056,02030102,Bronx,summer
NY0026131,NYCDEP - WARD'S ISLAND WPCP,NY0026131_1_1998-08-31,NY0026131_1,421037.64,1998 Aug,1,NY,40.787833,-73.919139,NA,East River,summer
NY0026191,NYCDEP - HUNT'S POINT WPCP,NY0026191_1_1998-08-31,NY0026191_1,247058.05,1998 Aug,1,NY,40.801389,-73.879583,02030102,Bronx,summer
NY0026239,NYCDEP - TALLMAN ISLAND WPCP,NY0026239_1_1998-08-31,NY0026239_1,103741.04,1998 Aug,1,NY,40.797583,-73.841056,02030102,Bronx,summer
NY0026131,NYCDEP - WARD'S ISLAND WPCP,NY0026131_1_1998-09-30,NY0026131_1,391115.65,1998 Sep,1,NY,40.787833,-73.919139,NA,East River,fall
NY0026191,NYCDEP - HUNT'S POINT WPCP,NY0026191_1_1998-09-30,NY0026191_1,228013.61,1998 Sep,1,NY,40.801389,-73.879583,02030102,Bronx,fall
NY0026239,NYCDEP - TALLMAN ISLAND WPCP,NY0026239_1_1998-09-30,NY0026239_1,97619.05,1998 Sep,1,NY,40.797583,-73.841056,02030102,Bronx,fall
NY0026131,NYCDEP - WARD'S ISLAND WPCP,NY0026131_1_1998-10-31,NY0026131_1,391963.72,1998 Oct,1,NY,40.787833,-73.919139,NA,East River,fall
NY0026191,NYCDEP - HUNT'S POINT WPCP,NY0026191_1_1998-10-31,NY0026191_1,229456.24,1998 Oct,1,NY,40.801389,-73.879583,02030102,Bronx,fall
NY0026239,NYCDEP - TALLMAN ISLAND WPCP,NY0026239_1_1998-10-31,NY0026239_1,98778.23,1998 Oct,1,NY,40.797583,-73.841056,02030102,Bronx,fall
NY0026131,NYCDEP - WARD'S ISLAND WPCP,NY0026131_1_1998-11-30,NY0026131_1,369904.76,1998 Nov,1,NY,40.787833,-73.919139,NA,East River,fall
NY0026191,NYCDEP - HUNT'S POINT WPCP,NY0026191_1_1998-11-30,NY0026191_1,224013.61,1998 Nov,1,NY,40.801389,-73.879583,02030102,Bronx,fall
NY0026239,NYCDEP - TALLMAN ISLAND WPCP,NY0026239_1_1998-11-30,NY0026239_1,95346.94,1998 Nov,1,NY,40.797583,-73.841056,02030102,Bronx,fall
NY0026131,NYCDEP - WARD'S ISLAND WPCP,NY0026131_1_1998-12-31,NY0026131_1,368878.91,1998 Dec,1,NY,40.787833,-73.919139,NA,East River,winter
NY0026191,NYCDEP - HUNT'S POINT WPCP,NY0026191_1_1998-12-31,NY0026191_1,233730.16,1998 Dec,1,NY,40.801389,-73.879583,02030102,Bronx,winter
NY0026239,NYCDEP - TALLMAN ISLAND WPCP,NY0026239_1_1998-12-31,NY0026239_1,99382.77,1998 Dec,1,NY,40.797583,-73.841056,02030102,Bronx,winter
NY0026131,NYCDEP - WARD'S ISLAND WPCP,NY0026131_1_1999-01-31,NY0026131_1,359023.58,1999 Jan,1,NY,40.787833,-73.919139,NA,East River,winter
NY0026191,NYCDEP - HUNT'S POINT WPCP,NY0026191_1_1999-01-31,NY0026191_1,232268.03,1999 Jan,1,NY,40.801389,-73.879583,02030102,Bronx,winter
NY0026239,NYCDEP - TALLMAN ISLAND WPCP,NY0026239_1_1999-01-31,NY0026239_1,98412.7,1999 Jan,1,NY,40.797583,-73.841056,02030102,Bronx,winter
NY0026131,NYCDEP - WARD'S ISLAND WPCP,NY0026131_1_1999-02-28,NY0026131_1,315885.71,1999 Feb,1,NY,40.787833,-73.919139,NA,East River,winter
NY0026191,NYCDEP - HUNT'S POINT WPCP,NY0026191_1_1999-02-28,NY0026191_1,210209.52,1999 Feb,1,NY,40.801389,-73.879583,02030102,Bronx,winter
NY0026239,NYCDEP - TALLMAN ISLAND WPCP,NY0026239_1_1999-02-28,NY0026239_1,88812.7,1999 Feb,1,NY,40.797583,-73.841056,02030102,Bronx,winter
NY0026131,NYCDEP - WARD'S ISLAND WPCP,NY0026131_1_1999-03-31,NY0026131_1,348029.48,1999 Mar,1,NY,40.787833,-73.919139,NA,East River,spring
NY0026191,NYCDEP - HUNT'S POINT WPCP,NY0026191_1_1999-03-31,NY0026191_1,234250.34,1999 Mar,1,NY,40.801389,-73.879583,02030102,Bronx,spring
NY0026239,NYCDEP - TALLMAN ISLAND WPCP,NY0026239_1_1999-03-31,NY0026239_1,99115.65,1999 Mar,1,NY,40.797583,-73.841056,02030102,Bronx,spring
NY0026131,NYCDEP - WARD'S ISLAND WPCP,NY0026131_1_1999-04-30,NY0026131_1,330952.38,1999 Apr,1,NY,40.787833,-73.919139,NA,East River,spring
NY0026191,NYCDEP - HUNT'S POINT WPCP,NY0026191_1_1999-04-30,NY0026191_1,226068.03,1999 Apr,1,NY,40.801389,-73.879583,02030102,Bronx,spring
