"Year","Discharge..cms.","Conc..mg.L.","Flux..kg.yr."
2008,26.8,0.325,279088
2009,33,0.3,311869
2010,29.8,0.291,292480
2011,36.1,0.287,299977
2012,26.5,0.277,235518
2013,26.7,0.273,224419
2014,23.3,0.252,203220
2015,20.1,0.243,171396
2016,15.1,0.227,133424
