"Year","Discharge..cms.","Conc..mg.L.","Flux..kg.yr."
2008,0.323,0.788,9813
2009,0.366,0.813,9589
2010,0.557,0.81,14817
2011,0.495,0.82,13039
2012,0.376,0.884,10396
2013,0.352,0.879,10573
2014,0.306,0.869,9304
2015,0.326,0.899,10590
2016,0.247,0.919,9093
