"Year","Discharge..cms.","Conc..mg.L.","Flux..kg.yr."
2008,0.227,0.587,3607
2009,0.303,0.558,5036
2010,0.359,0.607,5750
2011,0.279,0.592,4860
2012,0.247,0.606,4256
2013,0.276,0.618,4972
2014,0.247,0.647,4426
2015,0.212,0.659,3865
2016,0.173,0.668,3244
