"Year","Discharge..cms.","Conc..mg.L.","Flux..kg.yr."
2008,0.436,0.0526,668
2009,0.393,0.0494,619
2010,0.557,0.0494,838
2011,0.611,0.051,1051
2012,0.5,0.0468,792
2013,0.528,0.0496,891
2014,0.405,0.0537,692
2015,0.371,0.0523,612
2016,0.287,0.0549,490
