"Year","Discharge..cms.","Conc..mg.L.","Flux..kg.yr."
2008,4.71,0.00324,460
2009,5.77,0.00333,595
2010,6.6,0.00332,668
2011,6,0.00347,704
2012,4.59,0.00357,478
2013,4.62,0.0036,565
2014,4.29,0.00348,516
2015,3.84,0.0036,457
2016,2.75,0.00346,330
