"Year","Discharge..cms.","Conc..mg.L.","Flux..kg.yr."
2008,26.8,0.233,171677
2009,33,0.23,228771
2010,29.8,0.224,178995
2011,36.1,0.23,259782
2012,26.5,0.223,179062
2013,26.7,0.225,185020
2014,23.3,0.22,142562
2015,20.1,0.219,124406
2016,15.1,0.216,88829
