"Year","Discharge..cms.","Conc..mg.L.","Flux..kg.yr."
2008,4.71,0.287,39745
2009,5.77,0.301,53980
2010,6.6,0.285,57442
2011,6,0.305,60610
2012,4.59,0.295,43129
2013,4.62,0.304,44758
2014,4.29,0.289,38719
2015,3.84,0.293,34900
2016,2.75,0.282,24040
