"Year","Discharge..cms.","Conc..mg.L.","Flux..kg.yr."
2008,26.8,0.333,260645
2009,33,0.332,344319
2010,29.8,0.331,289112
2011,36.1,0.336,395925
2012,26.5,0.33,272230
2013,26.7,0.33,288847
2014,23.3,0.327,229185
2015,20.1,0.325,196237
2016,15.1,0.319,140426
