"Year","Discharge..cms.","Conc..mg.L.","Flux..kg.yr."
2008,0.323,0.313,2933
2009,0.366,0.34,4160
2010,0.557,0.322,5889
2011,0.495,0.349,6059
2012,0.376,0.347,4307
2013,0.352,0.34,4067
2014,0.306,0.321,3566
2015,0.326,0.324,3519
2016,0.247,0.314,2411
