"Year","Discharge..cms.","Conc..mg.L.","FN.Conc..mg.L.","Flux..kg.yr.","FN.Flux..kg.yr."
1995,11.42,2.334,2.084,541943,611365
1996,19.53,1.444,1.748,583460,531628
1997,20.26,1.155,1.471,530742,461783
1998,15.82,1.256,1.238,399118,402241
1999,13.17,1.295,1.047,322685,352398
2000,15.03,0.739,0.889,297975,310648
2001,13.83,0.824,0.759,245556,275966
2002,7.7,0.811,0.653,145487,248776
2003,17.36,0.499,0.565,237388,224955
2004,17.09,0.444,0.485,215255,201387
2005,13.73,0.441,0.427,159097,182463
2006,24.52,0.365,0.396,256172,170406
2007,16.57,0.381,0.379,166021,161648
2008,16.49,0.351,0.362,155023,153676
2009,17.71,0.314,0.344,166984,146285
2010,16.24,0.34,0.33,139639,141537
2011,26.22,0.297,0.323,228800,139455
2012,14.28,0.307,0.315,127266,137357
2013,16.28,0.292,0.308,139784,134694
2014,14.86,0.311,0.301,122674,132167
2015,12.47,0.308,0.294,102671,129902
2016,9.08,0.326,0.288,75384,128043
