"Year","Discharge..cms.","Conc..mg.L.","FN.Conc..mg.L.","Flux..kg.yr.","FN.Flux..kg.yr."
1995,339,0.12,0.1007,1088622,1281122
1996,706,0.0822,0.0912,1286753,1172233
1997,590,0.0758,0.0829,1131378,1075917
1998,543,0.0748,0.0755,977259,989688
1999,398,0.0761,0.0687,784189,910851
2000,567,0.0587,0.0623,883180,837000
2001,452,0.0627,0.0561,680597,766097
2002,383,0.0601,0.0525,598986,717660
2003,456,0.0555,0.0508,660244,693535
2004,562,0.0501,0.0498,695134,679723
2005,501,0.0507,0.0494,654343,668296
2006,749,0.0406,0.0495,779318,666641
2007,582,0.0492,0.0502,693264,674586
2008,662,0.0437,0.0511,746701,685677
2009,605,0.0454,0.0521,754415,696438
2010,519,0.0525,0.0531,688323,708511
2011,748,0.0462,0.0535,862452,714715
2012,486,0.0545,0.054,706890,720561
2013,522,0.0533,0.0545,737058,727651
2014,513,0.0561,0.0551,711805,735587
2015,457,0.0588,0.0557,693821,743496
2016,409,0.0609,0.0563,661459,750914
