"Year","Discharge..cms.","Conc..mg.L.","Flux..kg.yr."
2008,4.71,0.326,49715
2009,5.77,0.354,68129
2010,6.6,0.333,78722
2011,6,0.37,80979
2012,4.59,0.352,54589
2013,4.62,0.37,61082
2014,4.29,0.349,53023
2015,3.84,0.356,46517
2016,2.75,0.336,31435
