"Year","Discharge..cms.","Conc..mg.L.","Flux..kg.yr."
2008,0.323,0.278,2558
2009,0.366,0.299,3662
2010,0.557,0.277,5043
2011,0.495,0.305,5367
2012,0.376,0.298,3637
2013,0.352,0.293,3559
2014,0.306,0.279,3161
2015,0.326,0.277,2990
2016,0.247,0.265,2026
