"Year","Discharge..cms.","Conc..mg.L.","Flux..kg.yr."
2008,0.436,0.011,122.1
2009,0.393,0.0108,117.8
2010,0.557,0.011,144.5
2011,0.611,0.0107,168.7
2012,0.5,0.0105,145.3
2013,0.528,0.0108,148.7
2014,0.405,0.012,119.1
2015,0.371,0.012,113.2
2016,0.287,0.013,92.7
