"Year","Discharge..cms.","Conc..mg.L.","FN.Conc..mg.L.","Flux..kg.yr.","FN.Flux..kg.yr."
1995,11.79,0.287,0.31,100824,162433
1996,16.13,0.32,0.314,151636,165649
1997,18.58,0.308,0.318,172256,167682
1998,21.56,0.34,0.322,227201,170389
1999,13.07,0.306,0.326,119196,172726
2000,16.33,0.345,0.33,173594,175542
2001,18.55,0.346,0.333,200981,177172
2002,8.42,0.32,0.336,86047,179592
2003,19.85,0.359,0.339,219680,182010
2004,16.04,0.349,0.346,174202,185484
2005,18.72,0.35,0.353,202945,188778
2006,24.71,0.378,0.36,294999,191447
2007,21.57,0.358,0.36,240593,190719
2008,13.4,0.356,0.36,146941,189572
2009,24.35,0.386,0.361,295390,189454
2010,25.27,0.357,0.362,268807,190666
2011,15.86,0.375,0.365,186837,192651
2012,16.49,0.372,0.368,198177,195417
2013,14.73,0.378,0.371,176238,197407
2014,15.54,0.366,0.375,174911,199874
2015,10.81,0.354,0.378,121204,202366
2016,11.54,0.352,0.382,128374,205366
