"Year","Discharge..cms.","Conc..mg.L.","Flux..kg.yr."
2008,0.436,1.87,22190
2009,0.393,1.89,20605
2010,0.557,1.87,27323
2011,0.611,1.87,28680
2012,0.5,1.9,25519
2013,0.528,1.92,27137
2014,0.405,2.01,21558
2015,0.371,2.03,21197
2016,0.287,2.09,17278
