"Year","Discharge..cms.","Conc..mg.L.","Flux..kg.yr."
2008,0.227,0.277,1792
2009,0.303,0.309,2961
2010,0.359,0.29,3165
2011,0.279,0.322,2953
2012,0.247,0.32,2581
2013,0.276,0.329,3022
2014,0.247,0.328,2473
2015,0.212,0.334,2000
2016,0.173,0.346,1595
