"Year","Discharge..cms.","Conc..mg.L.","Flux..kg.yr."
2008,4.71,0.438,75708
2009,5.77,0.425,81446
2010,6.6,0.472,108102
2011,6,0.443,85737
2012,4.59,0.491,69357
2013,4.62,0.468,73652
2014,4.29,0.506,73917
2015,3.84,0.519,67032
2016,2.75,0.55,52618
