"Year","Discharge..cms.","Conc..mg.L.","Flux..kg.yr."
2008,0.323,0.00538,42.8
2009,0.366,0.00497,52.3
2010,0.557,0.00514,60.7
2011,0.495,0.00471,62.3
2012,0.376,0.0048,46.4
2013,0.352,0.00467,44.8
2014,0.306,0.0046,39.6
2015,0.326,0.00459,36.9
2016,0.247,0.00459,27.8
