"Year","Discharge..cms.","Conc..mg.L.","FN.Conc..mg.L.","Flux..kg.yr.","FN.Flux..kg.yr."
1995,57.1,0.364,0.367,766977,1015474
1996,110.7,0.366,0.37,1347262,1020080
1997,100.7,0.365,0.371,1259301,1022540
1998,74.5,0.364,0.373,916768,1023345
1999,67,0.371,0.375,867934,1023041
2000,89.9,0.379,0.378,1033589,1025363
2001,69.1,0.381,0.381,852947,1026504
2002,38.6,0.389,0.383,458910,1025417
2003,85.6,0.382,0.384,1037875,1022407
2004,96.4,0.379,0.383,1155287,1016037
2005,79.1,0.38,0.382,1011792,1013542
2006,120.6,0.37,0.378,1368492,1006020
2007,86.8,0.372,0.371,1033159,995191
2008,94.9,0.358,0.356,1152610,967661
2009,100.6,0.35,0.341,1086050,935954
2010,77,0.321,0.327,899252,904846
2011,125.3,0.321,0.314,1228624,876631
2012,73.9,0.305,0.302,758314,848105
2013,83.4,0.3,0.29,783598,818503
2014,79.6,0.286,0.279,747078,789770
2015,67.8,0.273,0.268,625706,762786
2016,47.3,0.252,0.258,455320,737516
