"Year","Discharge..cms.","Conc..mg.L.","Flux..kg.yr."
2008,4.71,0.441,76218
2009,5.77,0.429,82176
2010,6.6,0.476,108843
2011,6,0.446,86521
2012,4.59,0.495,69907
2013,4.62,0.472,74234
2014,4.29,0.51,74428
2015,3.84,0.523,67485
2016,2.75,0.554,52920
