"Year","Discharge..cms.","Conc..mg.L.","Flux..kg.yr."
2008,0.323,0.781,9763
2009,0.366,0.807,9526
2010,0.557,0.804,14741
2011,0.495,0.815,12970
2012,0.376,0.879,10349
2013,0.352,0.874,10533
2014,0.306,0.865,9267
2015,0.326,0.895,10565
2016,0.247,0.915,9084
