"Year","Discharge..cms.","Conc..mg.L.","Flux..kg.yr."
2008,0.323,0.348,3539
2009,0.366,0.389,5087
2010,0.557,0.379,8018
2011,0.495,0.411,7651
2012,0.376,0.413,5329
2013,0.352,0.405,4963
2014,0.306,0.384,4436
2015,0.326,0.396,4462
2016,0.247,0.388,2970
