"Year","Discharge..cms.","Conc..mg.L.","FN.Conc..mg.L.","Flux..kg.yr.","FN.Flux..kg.yr."
1995,11.79,0.253,0.261,88442,131834
1996,16.13,0.271,0.267,127386,135430
1997,18.58,0.267,0.274,146662,139504
1998,21.56,0.288,0.282,182678,143267
1999,13.07,0.281,0.289,105040,146982
2000,16.33,0.305,0.296,150890,151198
2001,18.55,0.311,0.305,171738,155216
2002,8.42,0.309,0.312,80926,159192
2003,19.85,0.329,0.321,196421,164081
2004,16.04,0.334,0.331,161868,170319
2005,18.72,0.335,0.339,187340,174957
2006,24.71,0.363,0.346,282603,179042
2007,21.57,0.35,0.352,230412,181294
2008,13.4,0.349,0.353,139479,181765
2009,24.35,0.369,0.348,282199,179352
2010,25.27,0.341,0.342,259968,178063
2011,15.86,0.347,0.34,171218,178536
2012,16.49,0.341,0.339,180644,179667
2013,14.73,0.342,0.338,161006,179982
2014,15.54,0.33,0.338,158553,180800
2015,10.81,0.316,0.337,106555,181750
2016,11.54,0.312,0.337,111649,183340
