"Year","Discharge..cms.","Conc..mg.L.","Flux..kg.yr."
2008,0.227,0.293,1742
2009,0.303,0.24,2041
2010,0.359,0.319,2452
2011,0.279,0.266,1970
2012,0.247,0.293,1727
2013,0.276,0.291,2092
2014,0.247,0.321,1959
2015,0.212,0.334,1872
2016,0.173,0.335,1682
