"Year","Discharge..cms.","Conc..mg.L.","Flux..kg.yr."
2008,0.436,0.29,4720
2009,0.393,0.288,4112
2010,0.557,0.282,5807
2011,0.611,0.292,7274
2012,0.5,0.29,5428
2013,0.528,0.282,5485
2014,0.405,0.265,4055
2015,0.371,0.267,3667
2016,0.287,0.26,2725
