"Year","Discharge..cms.","Conc..mg.L.","Flux..kg.yr."
2008,26.8,0.329,282215
2009,33,0.304,315060
2010,29.8,0.295,295425
2011,36.1,0.291,302982
2012,26.5,0.281,237672
2013,26.7,0.277,226705
2014,23.3,0.256,205187
2015,20.1,0.246,173055
2016,15.1,0.23,134723
