"Year","Discharge..cms.","Conc..mg.L.","Flux..kg.yr."
2008,26.8,0.0356,32192
2009,33,0.0323,35160
2010,29.8,0.0311,31370
2011,36.1,0.0304,31555
2012,26.5,0.0288,23323
2013,26.7,0.0276,22253
2014,23.3,0.0272,18731
2015,20.1,0.0265,15468
2016,15.1,0.0267,11756
