"Year","Discharge..cms.","Conc..mg.L.","Flux..kg.yr."
2008,0.436,0.308,5864
2009,0.393,0.308,4979
2010,0.557,0.314,7881
2011,0.611,0.332,9614
2012,0.5,0.324,6625
2013,0.528,0.325,7585
2014,0.405,0.306,5772
2015,0.371,0.305,4602
2016,0.287,0.296,3374
