"Year","Discharge..cms.","Conc..mg.L.","FN.Conc..mg.L.","Flux..kg.yr.","FN.Flux..kg.yr."
1995,24.2,0.169,0.17,116020,165395
1996,42.6,0.169,0.175,211453,171774
1997,41.4,0.174,0.181,213700,178039
1998,34.7,0.182,0.187,192247,184893
1999,24.9,0.196,0.194,146900,192160
2000,33.7,0.201,0.201,216387,200282
2001,26.2,0.209,0.209,166356,209016
2002,14.2,0.232,0.216,101960,217373
2003,32.3,0.221,0.222,225396,222243
2004,37,0.222,0.226,257912,225261
2005,31.6,0.223,0.226,208673,225447
2006,47.7,0.223,0.225,333962,224313
2007,33.8,0.221,0.223,224548,221928
2008,34.9,0.222,0.22,229578,218923
2009,37.9,0.215,0.216,257014,214543
2010,34.9,0.209,0.211,208815,209525
2011,47.4,0.21,0.209,324333,206737
2012,33.2,0.209,0.207,216583,205247
2013,33.7,0.205,0.206,217333,203853
2014,28.9,0.203,0.205,175429,202973
2015,25.1,0.203,0.204,153259,202389
2016,16.8,0.21,0.204,102039,202323
