"Year","Discharge..cms.","Conc..mg.L.","Flux..kg.yr."
2008,0.436,0.237,4025
2009,0.393,0.235,3458
2010,0.557,0.232,4958
2011,0.611,0.239,6218
2012,0.5,0.238,4580
2013,0.528,0.229,4683
2014,0.405,0.213,3463
2015,0.371,0.217,3154
2016,0.287,0.209,2316
