"Year","Discharge..cms.","Conc..mg.L.","Flux..kg.yr."
2008,0.227,0.243,1505
2009,0.303,0.262,2406
2010,0.359,0.24,2319
2011,0.279,0.257,2230
2012,0.247,0.255,1941
2013,0.276,0.252,2003
2014,0.247,0.24,1633
2015,0.212,0.24,1369
2016,0.173,0.241,1096
