"Year","Discharge..cms.","Conc..mg.L.","Flux..kg.yr."
2008,0.323,1.16,13721
2009,0.366,1.2,14588
2010,0.557,1.2,23339
2011,0.495,1.23,20521
2012,0.376,1.28,15505
2013,0.352,1.27,15296
2014,0.306,1.24,13646
2015,0.326,1.27,14910
2016,0.247,1.28,11867
