"Year","Discharge..cms.","Conc..mg.L.","Flux..kg.yr."
2008,4.71,0.021,4650
2009,5.77,0.0225,5390
2010,6.6,0.0231,8451
2011,6,0.0242,6099
2012,4.59,0.0242,4699
2013,4.62,0.0251,5102
2014,4.29,0.0247,5019
2015,3.84,0.0256,4412
2016,2.75,0.0237,3006
