"Year","Discharge..cms.","Conc..mg.L.","Flux..kg.yr."
2008,0.323,0.0231,178
2009,0.366,0.0214,239
2010,0.557,0.0232,282
2011,0.495,0.0213,298
2012,0.376,0.0214,201
2013,0.352,0.0215,207
2014,0.306,0.022,181
2015,0.326,0.0223,155
2016,0.247,0.0224,111
