"Year","Discharge..cms.","Conc..mg.L.","Flux..kg.yr."
2008,4.71,0.762,124921
2009,5.77,0.779,149396
2010,6.6,0.804,187752
2011,6,0.807,164598
2012,4.59,0.834,123799
2013,4.62,0.835,133006
2014,4.29,0.852,127115
2015,3.84,0.869,113820
2016,2.75,0.872,83560
