"Year","Discharge..cms.","Conc..mg.L.","Flux..kg.yr."
2008,26.8,0.278,207888
2009,33,0.271,270900
2010,29.8,0.263,216146
2011,36.1,0.266,294865
2012,26.5,0.255,204663
2013,26.7,0.256,209709
2014,23.3,0.249,163104
2015,20.1,0.246,140540
2016,15.1,0.241,100874
