"Year","Discharge..cms.","Conc..mg.L.","Flux..kg.yr."
2008,26.8,0.00418,2634
2009,33,0.00354,2964
2010,29.8,0.00373,2495
2011,36.1,0.00329,2815
2012,26.5,0.00349,2226
2013,26.7,0.00323,2220
2014,23.3,0.0032,1940
2015,20.1,0.00314,1712
2016,15.1,0.00308,1390
