"Year","Discharge..cms.","Conc..mg.L.","Flux..kg.yr."
2008,0.436,2.2,28374
2009,0.393,2.22,25723
2010,0.557,2.21,35914
2011,0.611,2.23,38405
2012,0.5,2.25,32444
2013,0.528,2.28,35264
2014,0.405,2.34,27834
2015,0.371,2.36,26248
2016,0.287,2.4,21067
