"Year","Discharge..cms.","Conc..mg.L.","Flux..kg.yr."
2008,0.227,0.00243,11.8
2009,0.303,0.00225,17.61
2010,0.359,0.0023,15.43
2011,0.279,0.0021,15.06
2012,0.247,0.00206,11.6
2013,0.276,0.00201,12.57
2014,0.247,0.00203,10.39
2015,0.212,0.00201,8.01
2016,0.173,0.00201,6.86
