"Year","Discharge..cms.","Conc..mg.L.","Flux..kg.yr."
2008,0.227,0.283,1763
2009,0.303,0.3,2745
2010,0.359,0.276,2762
2011,0.279,0.295,2541
2012,0.247,0.288,2202
2013,0.276,0.287,2330
2014,0.247,0.275,1914
2015,0.212,0.273,1571
2016,0.173,0.275,1253
