"Year","Discharge..cms.","Conc..mg.L.","Flux..kg.yr."
2008,0.227,0.0246,134
2009,0.303,0.0238,197
2010,0.359,0.0218,194
2011,0.279,0.0247,172
2012,0.247,0.0227,153
2013,0.276,0.0239,174
2014,0.247,0.0239,150
2015,0.212,0.0239,125
2016,0.173,0.0248,109
