"Year","Discharge..cms.","Conc..mg.L.","Flux..kg.yr."
2008,0.436,1.88,22312
2009,0.393,1.9,20723
2010,0.557,1.88,27456
2011,0.611,1.88,28849
2012,0.5,1.91,25662
2013,0.528,1.93,27274
2014,0.405,2.02,21666
2015,0.371,2.04,21300
2016,0.287,2.1,17362
