"Year","Discharge..cms.","Conc..mg.L.","Flux..kg.yr."
2008,4.71,0.249,34276
2009,5.77,0.26,46595
2010,6.6,0.245,48376
2011,6,0.263,52061
2012,4.59,0.254,36261
2013,4.62,0.261,38347
2014,4.29,0.246,32366
2015,3.84,0.25,29004
2016,2.75,0.241,19973
