"Year","Discharge..cms.","Conc..mg.L.","Flux..kg.yr."
2008,0.227,0.297,1761
2009,0.303,0.243,2066
2010,0.359,0.322,2478
2011,0.279,0.269,1989
2012,0.247,0.295,1741
2013,0.276,0.293,2106
2014,0.247,0.323,1971
2015,0.212,0.335,1879
2016,0.173,0.336,1685
