"Year","Discharge..cms.","Conc..mg.L.","FN.Conc..mg.L.","Flux..kg.yr.","FN.Flux..kg.yr."
1995,339,0.01339,0.01134,109025,145966
1996,706,0.00996,0.0107,172915,140073
1997,590,0.00946,0.0101,137837,134278
1998,543,0.00969,0.00953,131215,128664
1999,398,0.0099,0.00899,101242,123077
2000,567,0.00792,0.00846,124804,117517
2001,452,0.00849,0.00793,95099,111655
2002,383,0.00867,0.00738,83604,103893
2003,456,0.00719,0.00682,86639,94860
2004,562,0.00617,0.00635,88974,87095
2005,501,0.0061,0.00597,75740,80535
2006,749,0.00483,0.00569,94285,75031
2007,582,0.00542,0.00547,71557,70197
2008,662,0.0045,0.00528,73282,66133
2009,605,0.00433,0.00511,68808,63010
2010,519,0.00495,0.00497,58032,60932
2011,748,0.00404,0.00484,70327,59340
2012,486,0.00476,0.00474,55379,58156
2013,522,0.00445,0.00466,60150,57091
2014,513,0.00468,0.00459,56367,56182
2015,457,0.00476,0.00452,52339,55350
2016,409,0.00492,0.00446,46882,54623
